pm25,pm10,no,no2,so2
83.73,148.83,26.96,44.08,16.46
92.55,160.1,19.21,41.58,12.93
86.62,156.48,26.49,46.69,16.29
76.69,134.6,58.33,49.03,9.93
79.25,127.23,25.77,36.71,12.15
73.83,123.33,16.1,36.3,13.93
98.66,161.62,34.97,42.29,15.66
82.86,143.07,24.77,45.27,11.79
93.14,164.58,43.07,48.2,15.36
106.69,179.32,47.17,53.5,21.36
86.33,141.82,17.84,46.6,15.93
88.76,147.8,33.55,58.77,17.54
92.47,157.35,37.59,67.41,19.66
90.74,149.57,15.3,57.82,18.44
79.31,133.26,13.02,50.78,13.17
86.97,140.41,16.38,58.67,12.32
84.75,137.65,38.86,63.86,10
102.45,162.11,61.21,68.39,18.76
97.49,155.99,25.08,62.94,20.38
101.55,171.14,30.71,63.54,19.92
95.22,156.5,21.89,41.91,22.24
77.39,139.5,8.23,35.83,5.61
45.42,72.93,8.67,27.89,3.33
63.18,103.01,24.37,48.25,11.05
86.8,152.39,47.51,62.24,12.92
67.21,121.59,15.63,51.1,14.35
53.22,96.79,8.87,29.64,12.31
48.74,76.43,7.83,18.53,7.98
53.38,134.89,19.55,38.94,6.72
77.92,178.07,21.44,46.49,13.67
68.86,140.72,9.33,38.25,14.42
71.53,145.64,8.17,37.58,9.17
55.43,97.41,7.84,19.33,6.14
39.84,73.6,7.3,13.87,5.07
38.76,68.37,7.19,14.27,3.53
37.32,62.38,7.65,13.89,6.48
36.11,63.31,7.14,13.53,6.42
40.22,74.69,8.14,16.43,10.67
39.36,77.51,7.72,17.94,9.09
30.91,60.54,8.67,20.1,9.21
29.69,61.63,10.25,14.05,4.86
20.71,58.86,10.71,14.8,6.86
29.59,54.43,8.57,16.37,11.41
20.44,31.8,12.13,16.27,10.96
20.43,35.06,17.09,15.99,6.6
24.07,46.91,12.39,15.08,6.62
29.14,50.96,10.37,15.16,8.1
23.31,46.87,8.96,13.67,9.48
98.28,196.34,31.59,38.05,12.03
101.01,201.96,31.52,37.98,18.94
93.91,187.34,31.64,37.85,12.6
113.13,226.88,31.82,38.14,14.04
88.89,177.01,31.31,38.23,15.29
84.99,169,31.41,37.96,16.03
100.96,201.9,31.37,38.21,17.78
111.25,223.01,31.6,37.94,21.27
134.35,270.52,31.48,37.8,12.35
128.84,259.17,31.39,38.01,11.11
140.03,282.25,31.51,38.05,13.93
133.82,269.48,31.38,38.15,11.26
87.72,174.62,31.48,38.16,13.08
69.99,138.13,31.46,38.09,9.92
60.75,119.11,31.59,38.19,14.47
70.18,138.53,31.53,38.2,14.58
82.47,163.81,31.65,38.01,2.62
74.35,147.1,31.43,37.96,4.14
73.5,145.36,30.85,49.95,7.99
78.63,155.91,31.49,37.88,17.53
88.95,177.15,31.6,37.92,12.81
76.71,151.97,32.56,38.48,9.8
82.4,163.68,85.26,71.92,9.32
86.99,173.1,38.5,57.58,12.31
84.65,168.29,20.01,45.2,11.41
88.02,175.21,17.76,54.34,10.6
96.4,192.45,33.95,60.33,12.72
80.47,159.67,15.12,42.63,10.34
78.99,156.63,10.45,39.3,9.8
69.39,136.9,8.49,41.63,12.64
71.06,140.33,17.36,35.21,10.73
109.58,219.63,31.58,38.25,12.16
87.65,174.48,31.55,37.97,11.65
96.81,193.33,31.47,38.09,12.39
114.77,230.27,31.56,38.08,9.98
88.52,168.77,31.56,37.96,9.4
102.4,189.84,31.36,37.95,7.81
176.59,330.84,41.75,30.98,7.27
114.77,213.33,31.47,38.12,13.8
105.04,194.85,31.58,38.21,15.86
95.44,176.59,31.62,38.01,15.33
86.52,159.61,31.4,38.15,11.36
90.32,166.79,36.97,34.67,14.62
84.15,155.1,31.58,38.21,17.4
102.84,190.66,31.59,38.11,18.92
94.59,174.96,31.37,38.17,15.5
92.42,170.83,31.72,38.09,16.17
109.04,202.44,32.01,37.91,16.94
113.56,211,31.56,37.97,14.89
118.37,220.17,31.46,38.1,16.47
149.42,279.21,69.8,65.88,20.13
117.44,218.39,77.41,76.42,22.13
75.77,139.15,26.03,57.97,12.08
95.29,176.3,30.99,62.71,16.05
123.81,230.53,78.53,61.1,14.06
90.3,166.8,24.1,57.28,20.13
93.1,169.73,32.97,55.12,13.56
79.53,148.26,17.78,54.94,13.87
87.36,161.73,29.45,59.01,13.75
106.29,202.24,49.57,61.25,19.7
78.35,139.32,19.48,47.46,12.11
70.13,128.19,8.92,41.72,11.4
74.7,134.4,8.65,35.47,17.01
83.73,148.83,26.96,44.08,16.46
92.55,160.1,19.21,41.58,12.93
86.62,156.48,26.49,46.69,16.29
76.69,134.6,58.33,49.03,9.93
79.25,127.23,25.77,36.71,12.15
73.83,123.33,16.1,36.3,13.93
98.66,161.62,34.97,42.29,15.66
82.86,143.07,24.77,45.27,11.79
93.14,164.58,43.07,48.2,15.36
142.38,237.62,56.41,60.56,22.78
